Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore,MACD,MACDSignal,RSI,Action,Capital,Coin Amount
2024-01-08 00:00:00,89.44000000,90.00000000,87.91000000,88.46,432709.83000000,1704675599999,38483493.12320000,50159,201548.73000000,17924603.58520000,0,-1.2635728624671998,-0.6735693465934022,30.012340447256193,Hold,100,0
2024-01-08 01:00:00,88.46000000,90.90000000,88.22000000,90.23,376852.46000000,1704679199999,33935312.88510000,41736,178926.87000000,16111046.03910000,0,-1.3223800359238567,-0.8033314844594931,38.67459294672722,Hold,100,0
2024-01-08 02:00:00,90.23000000,90.55000000,87.30000000,88.04,514018.06000000,1704682799999,45627215.84690000,52626,222976.64000000,19803156.87270000,0,-1.5280850289634174,-0.948282193360278,33.19944646192322,Hold,100,0
2024-01-08 03:00:00,88.05000000,88.47000000,85.16000000,87.25,772679.16000000,1704686399999,66908380.97350000,78534,316569.40000000,27409447.30460000,0,-1.734855778165766,-1.1055969103213756,31.468764211036543,Hold,100,0
2024-01-08 04:00:00,87.24000000,89.43000000,86.91000000,89.1,292630.88000000,1704689999999,25800788.95450000,31066,149363.28000000,13177111.49700000,0,-1.7295068691002058,-1.2303789020771416,39.43150535078443,Hold,100,0
2024-01-08 05:00:00,89.11000000,89.70000000,88.33000000,89.28,233748.97000000,1704693599999,20812985.24550000,22020,116004.27000000,10331392.63680000,0,-1.691247674030592,-1.3225526564678316,40.160040956483975,Hold,100,0
2024-01-08 06:00:00,89.29000000,91.00000000,88.75000000,89.17,391090.92000000,1704697199999,35122423.11390000,40813,195355.82000000,17550030.87380000,0,-1.6507739722064798,-1.3881969196155612,39.844628639433274,Hold,100,0
2024-01-08 07:00:00,89.16000000,90.73000000,88.80000000,89.68,310582.04000000,1704700799999,27889083.73590000,29699,170742.37000000,15336471.26090000,0,-1.5595678072764088,-1.4224710971477308,42.11457654663823,Hold,100,0
2024-01-08 08:00:00,89.68000000,91.14000000,89.58000000,90.05,247723.35000000,1704704399999,22401631.27950000,24196,126582.83000000,11448589.76690000,0,-1.4408214637297476,-1.4261411704641342,43.772284972616724,Hold,100,0
2024-01-08 09:00:00,90.05000000,90.59000000,88.48000000,89.27,236569.11000000,1704707999999,21253152.70400000,23752,108531.17000000,9760279.36190000,0,-1.3935891835865846,-1.4196307730886244,41.10014128734398,Buy,100,0
2024-01-08 10:00:00,89.28000000,91.03000000,88.89000000,90.75,216110.96000000,1704711599999,19486678.70130000,23263,116440.05000000,10501530.86600000,0,-1.2226397996158767,-1.3802325783940748,47.63255618596456,Hold,100,0
2024-01-08 11:00:00,90.75000000,92.24000000,90.17000000,92.23,285995.78000000,1704715199999,26067353.69700000,30576,148547.71000000,13548300.22170000,0,-0.9567092019224219,-1.2955279030997442,53.21989931733353,Hold,100,0
2024-01-08 12:00:00,92.23000000,94.43000000,92.20000000,94.1,831924.41000000,1704718799999,77765166.07690000,91121,446135.53000000,41708383.85450000,0,-0.5882825604027886,-1.154078834560353,59.15045950637763,Hold,100,0
2024-01-08 13:00:00,94.10000000,95.05000000,93.34000000,93.86,515491.50000000,1704722399999,48648982.00210000,51189,245062.97000000,23131455.73770000,0,-0.3120704331677189,-0.9856771542818261,58.13186082554584,Hold,100,0
2024-01-08 14:00:00,93.86000000,95.56000000,93.47000000,94.2,448748.78000000,1704725999999,42506859.98140000,40854,186767.59000000,17678701.67700000,0,-0.06498605504145871,-0.8015389344337527,59.20367233564239,Hold,100,0
2024-01-08 15:00:00,94.20000000,95.24000000,93.64000000,94.67,377248.41000000,1704729599999,35584622.02900000,36243,182378.11000000,17211124.20350000,0,0.16683203101234767,-0.6078647413445326,60.70134222781214,Hold,100,0
2024-01-08 16:00:00,94.69000000,95.80000000,93.76000000,95.0,457164.88000000,1704733199999,43379582.08850000,37600,195303.87000000,18522430.39560000,0,0.3728794542053748,-0.4117159022345511,61.762750428882526,Hold,100,0
2024-01-08 17:00:00,95.00000000,97.00000000,94.55000000,96.62,362309.04000000,1704736799999,34584515.73440000,34985,194631.78000000,18587972.38550000,0,0.6592940512459933,-0.19751391153844222,66.54037046728808,Hold,100,0
2024-01-08 18:00:00,96.63000000,99.50000000,96.42000000,98.26,833151.29000000,1704740399999,81561743.47820000,86947,444106.94000000,43494460.98270000,0,1.0070058403661903,0.043390038842484324,70.55178427209921,Hold,100,0
2024-01-08 19:00:00,98.24000000,99.97000000,97.60000000,99.26,590905.10000000,1704743999999,58421908.25450000,61128,299146.90000000,29590497.69480000,0,1.3477258365103069,0.3042571983760488,72.70092614306999,Hold,100,0
2024-01-08 20:00:00,99.26000000,99.43000000,96.56000000,96.86,356246.47000000,1704747599999,34886190.60400000,47952,163239.72000000,15987331.22860000,0,1.4078600119906213,0.5249777610989633,61.16382585753553,Hold,100,0
2024-01-08 21:00:00,96.87000000,98.15000000,96.40000000,96.69,225887.73000000,1704751199999,21976981.65270000,29419,113063.48000000,11002685.30500000,0,1.4253684399368467,0.70505589686654,60.432269162593855,Hold,100,0
2024-01-08 22:00:00,96.69000000,98.03000000,96.43000000,98.0,191948.43000000,1704754799999,18640033.79710000,22685,100436.01000000,9752738.52910000,0,1.527343778755835,0.869513473244399,64.00501708571994,Hold,100,0
2024-01-08 23:00:00,98.01000000,98.62000000,97.16000000,97.88,175759.57000000,1704758399999,17195946.22560000,22781,88230.47000000,8633737.36690000,0,1.580260710551272,1.0116629207057737,63.43992590219393,Hold,100,0
2024-01-09 00:00:00,97.88000000,98.82000000,95.25000000,97.49,445527.15000000,1704761999999,43266482.01640000,62048,208963.25000000,20305033.76330000,0,1.572600064971624,1.1238503495589438,61.53832986584935,Sell,100,0
2024-01-09 01:00:00,97.48000000,98.09000000,96.41000000,97.05,261058.00000000,1704765599999,25363251.10330000,31148,111982.88000000,10879930.62880000,0,1.5135770513126658,1.2017956899096882,59.37591669959631,Hold,100,0
2024-01-09 02:00:00,97.05000000,99.10000000,96.55000000,98.56,325216.94000000,1704769199999,31985164.68020000,35273,165943.48000000,16323132.18040000,0,1.5705410485734603,1.2755447616424427,64.04528162859793,Hold,100,0
2024-01-09 03:00:00,98.56000000,99.80000000,97.80000000,99.79,285648.60000000,1704772799999,28254306.49360000,34711,153119.16000000,15152361.47190000,0,1.695392715389488,1.3595143523918518,67.33851851006504,Hold,100,0
2024-01-09 04:00:00,99.80000000,103.95000000,99.47000000,103.37,706821.09000000,1704776399999,72032687.87640000,92516,425358.13000000,43339194.64900000,0,2.0594743037451764,1.4995063426625168,74.6239294140697,Hold,100,0
2024-01-09 05:00:00,103.37000000,103.86000000,101.44000000,102.16,372491.51000000,1704779999999,38184284.70840000,49202,185463.31000000,19011053.69080000,0,2.2247294022717767,1.6445509545843688,69.02014921477583,Hold,100,0
2024-01-09 06:00:00,102.15000000,102.80000000,101.14000000,101.65,263703.40000000,1704783599999,26883029.10750000,34836,137371.64000000,14005764.61890000,0,2.288165967758175,1.77327395721913,66.7450946301222,Hold,100,0
2024-01-09 07:00:00,101.65000000,102.27000000,100.66000000,101.87,250477.38000000,1704787199999,25425080.70890000,32096,125479.89000000,12741902.96350000,0,2.3293408727089684,1.8844873403170976,67.24663857641919,Hold,100,0
2024-01-09 08:00:00,101.87000000,102.67000000,100.53000000,100.84,258111.80000000,1704790799999,26266670.86870000,34411,126141.24000000,12845799.28550000,0,2.2528899763290013,1.9581678675194785,62.494447071485894,Hold,100,0
2024-01-09 09:00:00,100.83000000,101.55000000,99.49000000,100.21,300699.39000000,1704794399999,30275770.14210000,44742,127937.58000000,12884005.96290000,0,2.1170621802896648,1.9899467300735156,59.71477745801956,Hold,100,0
2024-01-09 10:00:00,100.21000000,101.29000000,99.71000000,100.5,227433.59000000,1704797999999,22858260.27110000,28781,108376.28000000,10892126.39920000,0,2.0096522297712056,1.9938878300130536,60.58387360261474,Hold,100,0
2024-01-09 11:00:00,100.50000000,102.33000000,100.40000000,101.88,252733.46000000,1704801599999,25656468.41610000,36053,139634.88000000,14174399.20920000,0,2.0126825850086476,1.9976467810121723,64.50779915138592,Hold,100,0
2024-01-09 12:00:00,101.88000000,102.38000000,95.91000000,98.47,403146.52000000,1704805199999,40400198.30270000,68956,190991.16000000,19164258.53550000,0,1.7200974492544105,1.94213691466062,50.997728377070736,Hold,100,0
2024-01-09 13:00:00,98.49000000,101.51000000,98.15000000,100.78,454363.35000000,1704808799999,45485786.52070000,74995,248240.85000000,24856368.24040000,0,1.6555353349255313,1.8848165987136023,57.492362002465406,Hold,100,0
2024-01-09 14:00:00,100.79000000,102.20000000,100.67000000,101.43,134769.55000000,1704812399999,13683384.04760000,20283,70436.43000000,7152510.36440000,0,1.6379378341274133,1.8354408457963645,59.13367020174908,Hold,100,0













































































































































































































































































































































































































































































